file,WER,CER,Levenshtein,BLEU,Jaccard
0031_GANGA_PD.txt,0.5,0.11764705882352941,0.08571428571428574,9.53091075863908e-155,1.0
0031_MANGA_PD.txt,0.4,0.09523809523809523,0.06976744186046513,6.86809206056511e-78,1.0
0031_PERRO_PD.txt,0.4,0.08333333333333333,0.061224489795918324,6.86809206056511e-78,1.0
0031_PIDIO_PD.txt,0.8,0.1276595744680851,0.09278350515463918,6.223629500679345e-155,0.16666666666666666
0031_TOMAS_PD.txt,0.4,0.09090909090909091,0.06666666666666665,6.86809206056511e-78,1.0
0032_ABLANDADA_PD.txt,0.3333333333333333,0.0625,0.0461538461538461,0.5081327481546147,1.0
0032_ACAMPADA_PD.txt,0.5,0.125,0.10204081632653061,9.53091075863908e-155,0.3
0032_BARBAS_PD.txt,0.23076923076923078,0.046153846153846156,0.030303030303030276,0.5783569866465142,1.0
0032_BURRO_PD.txt,0.5,0.1111111111111111,0.0714285714285714,5.775353993361614e-78,1.0
0032_CALLE_PD.txt,0.2,0.044444444444444446,0.03296703296703296,0.7598356856515925,1.0
0032_CARMEN_PD.txt,1.0,0.3333333333333333,0.35,0.0,0.2
0032_DIABLO_PD.txt,0.3333333333333333,0.08620689655172414,0.050000000000000044,0.48442732379638637,1.0
0032_GANGA_PD.txt,0.5,0.11764705882352941,0.08571428571428574,9.53091075863908e-155,1.0
0032_MANGA_PD.txt,0.4,0.09523809523809523,0.06976744186046513,6.86809206056511e-78,1.0
0032_PERRO_PD.txt,0.4,0.08333333333333333,0.061224489795918324,6.86809206056511e-78,1.0
0032_PIDIO_PD.txt,0.5,0.2127659574468085,0.13684210526315788,4.640083527732319e-78,0.16666666666666666
0032_TOMAS_PD.txt,0.6,0.22727272727272727,0.19999999999999996,8.38826642100846e-155,0.3333333333333333
0033_ABLANDADA_PD.txt,0.3333333333333333,0.0625,0.0461538461538461,0.5081327481546147,1.0
0033_ACAMPADA_PD.txt,0.5,0.08333333333333333,0.061224489795918324,9.53091075863908e-155,1.0
0033_BARBAS_PD.txt,0.4166666666666667,0.07936507936507936,0.04761904761904767,0.30661487102926754,0.2222222222222222
0033_BURRO_PD.txt,0.6,0.12,0.07692307692307687,8.38826642100846e-155,1.0
0033_CALLE_PD.txt,0.2,0.044444444444444446,0.03296703296703296,0.7598356856515925,1.0
0033_CARMEN_PD.txt,1.0,0.2857142857142857,0.19999999999999996,0.0,0.1
